Населенный пункт,Тип,Субъект,Население (мужчины),Население (женщины)
железнодорожная станция Чернец,Железнодорожная станция,Брянская область,1640,1800
железнодорожная станция Клявлино,Железнодорожная станция,Самарская область,3141,3476
железнодорожная станция Шентала,Железнодорожная станция,Самарская область,2651,3012
улус Нур-Селение,Улус,Республика Бурятия,1566,1690
улус Хойтобэе,Улус,Республика Бурятия,2548,2821
Блечепсинское сельское поселение - аул Блечепсин,Аул,Республика Адыгея,1573,1592
Кошехабльское сельское поселение - аул Кошехабль,Аул,Республика Адыгея,3438,3870
аул Хатукай,Аул,Республика Адыгея,2447,2697
аул Тахтамукай,Аул,Республика Адыгея,2885,3190
аул Понежукай,Аул,Республика Адыгея,1597,1775
аул Хакуринохабль,Аул,Республика Адыгея,1888,1977
Псыжское сельское поселение - аул Псыж,Аул,Карачаево-Черкесская Республика,4095,4625
Адыге-Хабльское сельское поселение - аул Адыге-Хабль,Аул,Карачаево-Черкесская Республика,1993,2483
Кызыл-Октябрьское сельское поселение - аул Кызыл-Октябрь,Аул,Карачаево-Черкесская Республика,1867,1924
Каменномостское сельское поселение - сельское население - аул Каменномост,Аул,Карачаево-Черкесская Республика,1517,1757
Кумышское сельское поселение - сельское население - аул Кумыш,Аул,Карачаево-Черкесская Республика,2437,2686
аул Икон-Халк,Аул,Карачаево-Черкесская Республика,2208,2367
аул Новая Джегута,Аул,Карачаево-Черкесская Республика,1951,2133
Сары-Тюзское сельское поселение - сельское население - аул Сары-Тюз,Аул,Карачаево-Черкесская Республика,2025,2161
Али-Бердуковское сельское поселение - аул Али-Бердуковский,Аул,Карачаево-Черкесская Республика,2602,2845
Бесленеевское сельское поселение - аул Бесленей,Аул,Карачаево-Черкесская Республика,1735,1841
Зеюковское сельское поселение - аул Зеюко,Аул,Карачаево-Черкесская Республика,1543,1826
Хабезское сельское поселение - аул Хабез,Аул,Карачаево-Черкесская Республика,3178,3446
аул Махмуд-Мектеб,Аул,Ставропольский край,1587,1585
хутор Гавердовский,Хутор,Республика Адыгея,2254,2478
хутор Северо-Восточные Сады,Хутор,Республика Адыгея,1615,1789
хутор Ленина,Хутор,Краснодарский край,5189,5455
хутор Красная Поляна,Хутор,Краснодарский край,1586,1668
хутор Семигорский,Хутор,Краснодарский край,1636,1668
хутор Трудобеликовский,Хутор,Краснодарский край,4454,5126
хутор Новоукраинский,Хутор,Краснодарский край,2053,2209
хутор Коржевский,Хутор,Краснодарский край,1659,1924
хутор Бараниковский,Хутор,Краснодарский край,1466,1549
хутор Большой Лог,Хутор,Ростовская область,3047,3272
хутор Елкин,Хутор,Ростовская область,1496,1579
хутор Потапов,Хутор,Ростовская область,1466,1542
хутор Красновка,Хутор,Ростовская область,1658,1886
хутор Старая Станица,Хутор,Ростовская область,3599,4034
Калининское сельское поселение - хутор Калинин,Хутор,Ростовская область,2328,2509
хутор Апаринский,Хутор,Ростовская область,1563,1682
хутор Красный Пахарь,Хутор,Ставропольский край,1976,2206
слобода Михайловка,Слобода,Курская область,1467,1576
слобода Кашары,Слобода,Ростовская область,2453,2897
слобода Большая Орловка,Слобода,Ростовская область,2009,2137
слобода Большая Мартыновка,Слобода,Ростовская область,2905,3360
слобода Красюковская,Слобода,Ростовская область,2228,2407
слобода Родионово-Несветайская,Слобода,Ростовская область,2874,3333
Городское население - рп Нижний Кисляй,Рабочий поселок,Воронежская область,1458,1698
Городское население - рп Кантемировка,Рабочий поселок,Воронежская область,4928,5787
рп Новохопёрский,Рабочий поселок,Воронежская область,3501,4308
Городское население - рп Елань-Коленовский,Рабочий поселок,Воронежская область,1495,1779
Городское население - рп Ольховатка,Рабочий поселок,Воронежская область,1450,1826
Городское население - рп Панино,Рабочий поселок,Воронежская область,2691,3304
Городское население - рп Перелёшинский,Рабочий поселок,Воронежская область,1202,1375
Городское население - рп Рамонь,Рабочий поселок,Воронежская область,3861,4639
Латненское городское поселение - городское население - рп Латная,Рабочий поселок,Воронежская область,3322,3963
Городское население - рп Стрелица,Рабочий поселок,Воронежская область,1812,2196
Таловское городское поселение - городское население - рп Таловая,Рабочий поселок,Воронежская область,4936,6200
Городское население - рп Хохольский,Рабочий поселок,Воронежская область,3582,4372
Городское население - рп Белушья Губа,Рабочий поселок,Архангельская область без автономного округа,1335,637
Городское население - рп Кулой,Рабочий поселок,Архангельская область без автономного округа,2155,2651
Городское население - рп Коноша,Рабочий поселок,Архангельская область без автономного округа,4739,5731
Городское население - рп Приводино,Рабочий поселок,Архангельская область без автономного округа,1579,1582
Городское население - рп Шипицыно,Рабочий поселок,Архангельская область без автономного округа,1588,1792
Городское население - рп Урдома,Рабочий поселок,Архангельская область без автономного округа,1923,2119
Городское население - рп Малошуйка,Рабочий поселок,Архангельская область без автономного округа,947,1052
Городское население - рп Октябрьский,Рабочий поселок,Архангельская область без автономного округа,4082,5055
рп Обозерский,Рабочий поселок,Архангельская область без автономного округа,1677,1761
рп Плесецк,Рабочий поселок,Архангельская область без автономного округа,4143,4954
рп Савинский,Рабочий поселок,Архангельская область без автономного округа,2599,3244
рп Североонежск,Рабочий поселок,Архангельская область без автономного округа,2433,2391
Городское население - рп Лиман рп,Рабочий поселок,Астраханская область,4097,4917
Городское поселение Приютовский поссовет - городское население - рп Приютово,Рабочий поселок,Республика Башкортостан,8983,10612
Городское поселение Чишминский поссовет - городское население - рп Чишмы,Рабочий поселок,Республика Башкортостан,10442,12155
рп Майна,Рабочий поселок,Республика Хакасия,1983,2342
рп Черёмушки,Рабочий поселок,Республика Хакасия,3255,4127
рп Пригорск,Рабочий поселок,Республика Хакасия,1091,1275
Городское поселение Аскизский поссовет - городское население - рп Аскиз,Рабочий поселок,Республика Хакасия,2535,2821
Городское население - рп Бискамжа,Рабочий поселок,Республика Хакасия,552,630
Городское поселение Вершино-Тёйский поссовет  - городское население - рп Вершина Тёи,Рабочий поселок,Республика Хакасия,1484,1625
Городское поселение Усть-Абаканский поссовет - городское население - рп Усть-Абакан,Рабочий поселок,Республика Хакасия,6427,7783
рп Южный,Рабочий поселок,Алтайский край,7815,10283
п. Гусевский,Поселок сельского типа,Владимирская область,841,1074
Городское население - п. Мстёра,Поселок сельского типа,Владимирская область,2046,2471
Городское население - п. Никологоры,Поселок сельского типа,Владимирская область,2248,2702
Городское поселение Залукокоаже - п. Залукокоаже,Поселок сельского типа,Кабардино-Балкарская Республика,4545,5304
Городское поселение Кашхатау - п. Кашхатау,Поселок сельского типа,Кабардино-Балкарская Республика,3074,3284
Беловское сельское поселение - сельское население,Сельское поселение,Белгородская область,2940,3118
Беломестненское сельское поселение - сельское население,Сельское поселение,Белгородская область,3077,3015
Бессоновское сельское поселение - сельское население,Сельское поселение,Белгородская область,2252,2396
Веселолопанское сельское поселение - сельское население,Сельское поселение,Белгородская область,1639,1954
Головинское сельское поселение - сельское население,Сельское поселение,Белгородская область,1167,1195
Дубовское сельское поселение - сельское население,Сельское поселение,Белгородская область,8494,9579
Ериковское сельское поселение - сельское население,Сельское поселение,Белгородская область,664,700
Журавлевское сельское поселение - сельское население,Сельское поселение,Белгородская область,592,670
Комсомольское сельское поселение - сельское население,Сельское поселение,Белгородская область,2178,2314
Краснооктябрьское сельское поселение - сельское население,Сельское поселение,Белгородская область,1520,1718
Крутологское сельское поселение - сельское население,Сельское поселение,Белгородская область,926,1025
Майское сельское поселение - сельское население,Сельское поселение,Белгородская область,7433,7885
Малиновское сельское поселение - сельское население,Сельское поселение,Белгородская область,826,903
Никольское сельское поселение - сельское население,Сельское поселение,Белгородская область,3901,4001
Новосадовское сельское поселение - сельское население,Сельское поселение,Белгородская область,6243,6498
Пушкарское сельское поселение - сельское население,Сельское поселение,Белгородская область,2655,2840
Тавровское сельское поселение - сельское население,Сельское поселение,Белгородская область,6891,7065
Хохловское сельское поселение - сельское население,Сельское поселение,Белгородская область,735,732
Щетиновское сельское поселение - сельское население,Сельское поселение,Белгородская область,502,542
